segment_id,street_id,street_name,street_type,velocity,max_velocity,s_node_id,s_long,s_lat,e_node_id,e_long,e_lat,slow_traffic
303,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,5811504011,106.6940222,10.7556986,1588330158,106.6942167,10.755336,0
304,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1588330158,106.6942167,10.755336,5811504011,106.6940222,10.7556986,0
305,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1588330158,106.6942167,10.755336,1780010929,106.6944527,10.7549186,0
306,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1780010929,106.6944527,10.7549186,1588330158,106.6942167,10.755336,0
307,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1780010929,106.6944527,10.7549186,1780010853,106.6948938,10.7541206,0
308,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1780010853,106.6948938,10.7541206,1780010929,106.6944527,10.7549186,0
309,32575985,Nguyễn Khoái,tertiary,47.91718170580964,47.91718170580964,1780010853,106.6948938,10.7541206,366422916,106.6952956,10.7533608,0
310,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,366422916,106.6952956,10.7533608,1780010853,106.6948938,10.7541206,0
311,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,366422916,106.6952956,10.7533608,366445426,106.6954585,10.753047,0
312,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,366445426,106.6954585,10.753047,366422916,106.6952956,10.7533608,0
334,32576095,Xã Bà Điểm,tertiary,13.0,47.91718170580964,366383979,106.6064981,10.8422002,366476528,106.6064117,10.8416787,1
358,32576095,Xã Bà Điểm,tertiary,13.0,47.91718170580964,366449158,106.6076808,10.8446242,5751066396,106.6076255,10.8445301,1
431,32576127,Tản Đà,tertiary,21.0,47.91718170580964,366449673,106.664706,10.7506566,4979973980,106.6646409,10.7510333,0
432,32576127,Tản Đà,tertiary,23.0,47.91718170580964,4979973980,106.6646409,10.7510333,366449673,106.664706,10.7506566,0
433,32576127,Tản Đà,tertiary,23.5,47.91718170580964,4979973980,106.6646409,10.7510333,4589132514,106.6645422,10.7514798,0
434,32576127,Tản Đà,tertiary,18.6,47.91718170580964,4589132514,106.6645422,10.7514798,4979973980,106.6646409,10.7510333,1
435,32576127,Tản Đà,tertiary,23.1,47.91718170580964,4589132514,106.6645422,10.7514798,366433158,106.6643846,10.7522719,0
436,32576127,Tản Đà,tertiary,23.2,47.91718170580964,366433158,106.6643846,10.7522719,4589132514,106.6645422,10.7514798,0
437,32576127,Tản Đà,tertiary,18.5,47.91718170580964,366433158,106.6643846,10.7522719,5816931407,106.6642633,10.7528813,1
438,32576127,Tản Đà,tertiary,19.0,47.91718170580964,5816931407,106.6642633,10.7528813,366433158,106.6643846,10.7522719,1
439,32576127,Tản Đà,tertiary,24.2,47.91718170580964,5816931407,106.6642633,10.7528813,4589132512,106.6641339,10.7535319,0
440,32576127,Tản Đà,tertiary,13.5,47.91718170580964,4589132512,106.6641339,10.7535319,5816931407,106.6642633,10.7528813,1
441,32576156,Đường số 7,tertiary,21.0,47.91718170580964,5797643308,106.6190633,10.7515592,5797643307,106.6193735,10.7516045,0
442,32576156,Đường số 7,tertiary,21.0,47.91718170580964,5797643307,106.6193735,10.7516045,5075576716,106.619884,10.7515986,0
443,32576156,Đường số 7,tertiary,21.0,47.91718170580964,5075576716,106.619884,10.7515986,5075577021,106.6200735,10.7515917,0
444,32576156,Đường số 7,tertiary,21.0,47.91718170580964,5075577021,106.6200735,10.7515917,5075577027,106.6202399,10.7515811,0
445,32576156,Đường số 7,tertiary,21.0,47.91718170580964,5075577027,106.6202399,10.7515811,5075577025,106.6203226,10.7515832,0
446,32576156,Đường số 7,tertiary,21.0,47.91718170580964,5075577025,106.6203226,10.7515832,2430257155,106.6206782,10.7515396,0
447,32576156,Đường số 7,tertiary,21.0,47.91718170580964,2430257155,106.6206782,10.7515396,4984435625,106.6211211,10.7514964,0
448,32576156,Đường số 7,tertiary,21.0,47.91718170580964,4984435625,106.6211211,10.7514964,5811666190,106.6211814,10.7514898,0
449,32576156,Đường số 7,tertiary,21.0,47.91718170580964,5811666190,106.6211814,10.7514898,2389075913,106.6217148,10.7514442,0
450,32576156,Đường số 7,tertiary,21.0,47.91718170580964,2389075913,106.6217148,10.7514442,366424989,106.6220232,10.7514305,0
451,32576156,Đường số 7,tertiary,21.0,47.91718170580964,366424989,106.6220232,10.7514305,5811552460,106.6222339,10.7514926,0
452,32576156,Đường số 7,tertiary,21.0,47.91718170580964,5811552460,106.6222339,10.7514926,4984435621,106.6225224,10.7516195,0
453,32576156,Đường số 7,tertiary,21.0,47.91718170580964,4984435621,106.6225224,10.7516195,2439978585,106.6227047,10.7516834,0
454,32576156,Đường số 7,tertiary,21.0,47.91718170580964,2439978585,106.6227047,10.7516834,4984435623,106.6228309,10.7517219,0
455,32576156,Đường số 7,tertiary,21.0,47.91718170580964,4984435623,106.6228309,10.7517219,1802527676,106.6229309,10.7517295,0
456,32576156,Đường số 7,tertiary,21.0,47.91718170580964,1802527676,106.6229309,10.7517295,366432834,106.6241367,10.7516695,0
521,32576202,Nguyễn Hồng Đào,tertiary,40.0,47.91718170580964,2409410633,106.643768,10.7981025,4871947798,106.6437232,10.798039,0
522,32576202,Nguyễn Hồng Đào,tertiary,40.0,47.91718170580964,4871947798,106.6437232,10.798039,2409410633,106.643768,10.7981025,0
